latitude,longitude,number,mean_temperature_C,minimum_temperature_C,maximum_temperature_C,mean_anomaly_C,minimum_anomaly_C,maximum_anomaly_C,warm_frequency,cold_frequency
-1.0,36.5,0,18.237478,13.402496,25.33731,-2.1899445,-3.2024803,-1.533597,0.0,0.0
-1.0,36.75,0,17.77768,12.896637,24.327545,-2.6497426,-3.6790428,-1.7662115,0.0,0.0
-1.0,36.0,0,17.2116,11.906158,24.022858,-3.2158232,-4.261074,-2.502347,0.0,0.0
-1.0,37.25,0,21.18279,16.714996,27.64981,0.75536805,-1.1721878,2.1839085,0.0,0.0
-1.0,37.5,0,22.386404,17.99234,28.710358,1.9589814,-0.24445343,3.6389866,0.0,0.0
-1.25,35.0,0,20.476084,14.707184,26.929108,0.048662346,-0.892889,1.2000542,0.0,0.0
-1.25,35.25,0,20.69288,14.820465,27.720123,0.2654592,-1.080389,1.6570854,0.0,0.0
-1.25,35.5,0,20.420908,14.849518,27.56778,-0.006513437,-1.0003109,0.9363823,0.0,0.0
-1.25,35.75,0,20.7435,15.002106,27.792389,0.3160777,-0.8108578,1.2723999,0.0,0.0
-1.25,36.0,0,21.55307,15.488434,28.961823,1.125648,-0.010076523,3.0990229,0.0,0.0
-1.0,37.0,0,19.21697,14.578278,25.571686,-1.2104522,-2.7190628,-0.15202904,0.0,0.0
-1.25,36.25,0,22.470062,16.525543,29.91153,2.0426402,0.738842,3.632226,0.0,0.0
-1.25,36.5,0,20.782724,15.396637,27.970123,0.35530296,-0.43889236,1.0536499,0.0,0.0
-1.25,37.0,0,20.261892,16.287262,26.177155,-0.16553037,-2.0842972,1.3538303,0.0,0.0
-1.25,36.75,0,19.998056,15.361481,26.472076,-0.429365,-1.488594,0.48078346,0.0,0.0
-1.25,37.5,0,21.686697,17.64859,27.91153,1.2592744,-1.1175003,3.506174,0.0,0.0
-1.5,35.0,0,22.489431,16.707184,29.906158,2.0620086,0.52630615,4.041851,0.0,0.0
-1.5,35.25,0,20.959482,15.322418,27.747955,0.5320608,-1.0127563,1.3738823,0.0,0.0
-1.25,37.25,0,20.929535,17.127106,26.895905,0.50211287,-1.9163284,2.410471,0.0,0.0
-1.5,35.5,0,19.468924,13.930084,25.847565,-0.95849913,-1.9873657,-0.26406574,0.0,0.0
-1.5,35.75,0,18.98585,13.750397,25.134186,-1.4415721,-2.0876846,-0.40533447,0.0,0.0
-1.5,36.0,0,22.352549,16.203278,29.557526,1.9251271,0.9762516,3.0382156,0.0,0.0
-1.5,36.5,0,23.238943,18.402496,30.157623,2.8115203,1.6489983,3.7210178,0.0,0.0
-1.5,36.75,0,21.00001,16.769684,27.065826,0.57258815,-0.68390656,1.8401585,0.0,0.0
-1.5,37.0,0,19.843435,16.095856,25.583405,-0.5839874,-2.4671097,1.207346,0.0,0.0
-1.5,37.25,0,20.144867,16.394684,26.063873,-0.2825551,-2.5374222,1.9983616,0.0,0.0
-1.5,37.5,0,20.993174,17.189606,27.034576,0.5657522,-1.7210159,3.1409397,0.0,0.0
